Accession,ProteinName,GeneName,,
Q02253,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial (MMSDH) (Malonate-semialdehyde dehydrogenase [acylating]) (EC 1.2.1.18) (EC 1.2.1.27) (Aldehyde dehydrogenase family 6 member A1)",Aldh6a1,,
Q07310,Neurexin-3 (Neurexin III-alpha) (Neurexin-3-alpha),Nrxn3,,
Q9QYU7,Ribosome biogenesis protein NSA2 homolog (Protein CDK105) (TGF-beta-inducible nuclear protein 1),Nsa2,,
O35049,Sphingomyelin phosphodiesterase 3 (EC 3.1.4.12) (Confluent 3Y1 cell-associated protein 1) (Neutral sphingomyelinase 2) (nSMase-2) (nSMase2) (Neutral sphingomyelinase II),Smpd3,,
Q6AXQ8,Meiosis-specific nuclear structural protein 1,Mns1,,
Q6Q0N3,5'-nucleotidase domain-containing protein 2 (EC 3.1.3.-),Nt5dc2,,
Q9QXS4,N-acetyltransferase family 8 member 3 (EC 2.3.1.48) (Camello-like protein 3) (N-acetyltransferase CML3),Nat8f3,,
Q62633,"Ileal sodium/bile acid cotransporter (Apical sodium-dependent bile acid transporter) (ASBT) (Ileal Na(+)/bile acid cotransporter) (Ileal sodium-dependent bile acid transporter) (IBAT) (ISBT) (Na(+)-dependent ileal bile acid transporter) (Sodium/taurocholate-cotransporting polypeptide, ileal) (Solute carrier family 10 member 2)",Slc10a2,,
Q6AYU1,Mortality factor 4-like protein 1 (MORF-related gene 15 protein) (Transcription factor-like protein MRG15),Morf4l1,,
P61972,Nuclear transport factor 2 (NTF-2),Nutf2,,
P34131,Neurotrophin-4 (NT-4) (Neurotrophin-5) (NT-5) (Neutrophic factor 4),Ntf4,,
Q6AYP2,Microfibrillar-associated protein 3-like,Mfap3l,,
Q4KM98,Mitochondrial fission factor,Mff,,
Q9R172,Neurogenic locus notch homolog protein 3 (Notch 3) [Cleaved into: Notch 3 extracellular truncation; Notch 3 intracellular domain],Notch3,,
Q27W02,Protein mago nashi homolog (Mago-nashi-like proliferation-associated protein),Magoh,,
Q9WV87,NADPH oxidase 1 (NOX-1) (EC 1.-.-.-) (Mitogenic oxidase 1) (MOX-1) (NADH/NADPH mitogenic oxidase subunit P65-MOX) (NOH-1),Nox1,,
Q66H59,N-acetylneuraminate lyase (NALase) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (Sialate lyase) (Sialate-pyruvate lyase) (Sialic acid aldolase) (Sialic acid lyase),Npl,,
P13084,Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin),Npm1,,
P0C0L6,Neuropeptide S receptor (G-protein coupled receptor 154),Npsr1,,
Q8K4R8,Sodium-dependent phosphate transport protein 2C (Sodium-phosphate transport protein 2C) (Na(+)-dependent phosphate cotransporter 2C) (Sodium/phosphate cotransporter 2C) (Na(+)/Pi cotransporter 2C) (NaPi-2c) (Solute carrier family 34 member 3),Slc34a3,,
Q9ESQ9,Pro-FMRFamide-related neuropeptide VF (FMRFamide-related peptides) [Cleaved into: Neuropeptide NPSF; Neuropeptide RFRP-1; Neuropeptide NPVF (Neuropeptide RFRP-2)],Npvf,,
Q8K1M5,Neuropeptide W (Preproprotein L8) (PPL8) [Cleaved into: Neuropeptide W-23 (NPW23) (L8); Neuropeptide W-30 (NPW30) (L8C)],Npw,,
Q63447,Neuropeptide Y receptor type 4 (NPY4-R) (Pancreatic polypeptide receptor 1) (PP1),Npy4r,,
Q63634,Neuropeptide Y receptor type 5 (NPY5-R) (NPY-Y5 receptor) (NPYY5-R) (Y5 receptor),Npy5r,,
D3ZBP4,[F-actin]-monooxygenase MICAL1 (EC 1.14.13.225) (Molecule interacting with CasL protein 1) (MICAL-1),Mical1,,
D4AE48,Midnolin (Midbrain nucleolar protein),Midn,,
P30904,Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glutathione-binding 13 kDa protein) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase),Mif,,
P70503,Nuclear receptor subfamily 0 group B member 1 (Nuclear receptor DAX-1),Nr0b1,,
P97947,Nuclear receptor subfamily 0 group B member 2 (Orphan nuclear receptor SHP) (Small heterodimer partner),Nr0b2,,
Q63503,Nuclear receptor subfamily 1 group D member 1 (Rev-erbA-alpha) (V-erbA-related protein 1) (EAR-1),Nr1d1,,
Q63504,Nuclear receptor subfamily 1 group D member 2 (EAR4) (Rev-erb-beta),Nr1d2,,
Q62755,Oxysterols receptor LXR-beta (Liver X receptor beta) (Nuclear receptor subfamily 1 group H member 2) (Orphan nuclear receptor OR-1) (Ubiquitously-expressed nuclear receptor) (UR),Nr1h2,,
Q62685,Oxysterols receptor LXR-alpha (Liver X receptor alpha) (Nuclear receptor subfamily 1 group H member 3) (RLD-1),Nr1h3,,
Q62735,Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4) (Retinoid X receptor-interacting protein 14) (RXR-interacting protein 14),Nr1h4,,
Q5BJQ2,Ubiquitin carboxyl-terminal hydrolase MINDY-1 (EC 3.4.19.12) (Deubiquitinating enzyme MINDY-1) (Protein FAM63A),Mindy1,,
O54902,Natural resistance-associated macrophage protein 2 (NRAMP 2) (Divalent cation transporter 1) (Divalent metal transporter 1) (DMT-1) (Solute carrier family 11 member 2),Slc11a2,,
Q9QXN4,Inositol oxygenase (EC 1.13.99.1) (Aldehyde reductase-like 6) (Kidney-specific protein 32) (Myo-inositol oxygenase) (MI oxygenase) (Renal-specific oxidoreductase),Miox,,
Q01992,Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59),Mipep,,
P09011,Lens fiber major intrinsic protein (Aquaporin-0) (MIP26) (MP26) (Fragment),Mip,,
Q7TSA0,Mitochondrial Rho GTPase 2 (MIRO-2) (EC 3.6.5.-) (Ras homolog gene family member T2),Rhot2,,
F1LQ48,Heterogeneous nuclear ribonucleoprotein L (hnRNP L),Hnrnpl,,
Q62826,Heterogeneous nuclear ribonucleoprotein M (hnRNP M) (M4 protein),Hnrnpm,,
Q6P747,Heterochromatin protein 1-binding protein 3,Hp1bp3,,
Q5XIH9,4-hydroxyphenylpyruvate dioxygenase-like protein (EC 1.13.-.-) (Glyoxalase domain-containing protein 1),Hpdl,,
Q9ESG5,Heparan sulfate glucosamine 3-O-sulfotransferase 1 (EC 2.8.2.23) (Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 1) (Heparan sulfate 3-O-sulfotransferase 1),Hs3st1,,
Q9QYN8,Histamine H3 receptor (H3R) (HH3R),Hrh3,,
P82995,Heat shock protein HSP 90-alpha (Heat shock 86 kDa) (HSP 86) (HSP86),Hsp90aa1,,
P27605,Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8),Hprt1,,
P83581,Heat shock 70 kDa protein 4L (Heat shock 70-related protein APG-1) (Osmotic stress protein 94) (Fragments),Hspa4l,,
D4A9E1,Heat shock factor-binding protein 1-like protein 1,Hsbp1l1,,
P09635,Homeobox protein Hox-A4 (Homeobox protein R2) (Fragment),Hoxa4,,
P18864,Homeobox protein Hox-B7 (Homeobox protein R1B),Hoxb7,,
Q9WU74,Lipolysis-stimulated lipoprotein receptor (Lipolysis-stimulated remnant receptor),Lsr,,
Q9Z2K5,Target of rapamycin complex subunit LST8 (TORC subunit LST8) (G protein beta subunit-like) (Protein GbetaL) (Mammalian lethal with SEC13 protein 8) (mLST8),Mlst8,,
Q9R0Q2,Leukotriene B4 receptor 1 (LTB4-R 1) (LTB4-R1),Ltb4r,,
Q924U0,Leukotriene B4 receptor 2 (LTB4-R 2) (LTB4-R2) (LTB4 receptor JULF2),Ltb4r2,,
Q00918,Latent-transforming growth factor beta-binding protein 1 (LTBP-1) (Transforming growth factor beta-1-binding protein 1) (TGF-beta-1-BP-1) (Transforming growth factor beta-1-masking protein large subunit),Ltbp1,,
O35806,Latent-transforming growth factor beta-binding protein 2 (LTBP-2),Ltbp2,,
Q925U2,Leukotriene C4 synthase (LTC4 synthase) (EC 4.4.1.20) (Leukotriene-C(4) synthase),Ltc4s,,
Q6P791,Ragulator complex protein LAMTOR1 (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 1) (Lipid raft adaptor protein p18),Lamtor1,,
Q5U204,Ragulator complex protein LAMTOR3 (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 3) (Mitogen-activated protein kinase kinase 1-interacting protein 1),Lamtor3,,
Q68FR7,Protein LTV1 homolog,Ltv1,,
P51886,Lumican (Keratan sulfate proteoglycan lumican) (KSPG lumican),Lum,,
Q5BJW5,Leucine rich adaptor protein 1-like,Lurap1l,,
D4A8G3,Leucine rich adaptor protein 1 (Leucine repeat adapter protein 35A),Lurap1,,
Q9ESV1,Leucine zipper protein 1 (Leucine zipper motif-containing protein),Luzp1,,
Q2KMM4,"Arachidonate 12-lipoxygenase, 12R-type (12R-LOX) (12R-lipoxygenase) (EC 1.13.11.-) (Epidermis-type lipoxygenase 12)",Alox12b,,
D3ZQF9,"Arachidonate 12-lipoxygenase, epidermal-type (12-LOX) (EC 1.13.11.31)",Alox12e,,
Q8K4F2,Arachidonate 15-lipoxygenase B (15-LOX-B) (EC 1.13.11.33) (15-lipoxygenase 2) (15-LOX-2) (Arachidonate 15-lipoxygenase type II) (Linoleate 13-lipoxygenase 15-LOb) (EC 1.13.11.-),Alox15b,,
Q64361,Latexin (Endogenous carboxypeptidase inhibitor) (ECI) (Tissue carboxypeptidase inhibitor) (TCI),Lxn,,
Q6MG53,Lymphocyte antigen 6 complex locus protein G5b,Ly6g5b,,
Q8CHN2,Lymphocyte antigen 6 complex locus protein G5c (Epididymal secretory protein 8) (Protein RE8),Ly6g5c,,
Q6MG58,Lymphocyte antigen 6 complex locus protein G6d,Ly6g6d,,
Q6MG56,Lymphocyte antigen 6 complex locus protein G6f,Ly6g6f,,
Q63317,Lymphocyte antigen 6B (Ly-6B),Ly6b,,
Q6P7A9,Lysosomal alpha-glucosidase (EC 3.2.1.20) (Acid maltase),Gaa,,
P30836,L-selectin (CD62 antigen-like family member L) (Leukocyte adhesion molecule 1) (LAM-1) (Leukocyte-endothelial cell adhesion molecule 1) (LECAM1) (Lymph node homing receptor) (Lymphocyte antigen 22) (Ly-22) (Lymphocyte surface MEL-14 antigen) (CD antigen CD62L),Sell,,
P98105,E-selectin (CD62 antigen-like family member E) (Endothelial leukocyte adhesion molecule 1) (ELAM-1) (Leukocyte-endothelial cell adhesion molecule 2) (LECAM2) (CD antigen CD62E),Sele,,
P98106,P-selectin (CD62 antigen-like family member P) (Granule membrane protein 140) (GMP-140) (Leukocyte-endothelial cell adhesion molecule 3) (LECAM3) (Platelet activation dependent granule-external membrane protein) (PADGEM) (CD antigen CD62P),Selp,,
Q6AYK5,Cell growth-regulating nucleolar protein,Lyar,,
Q66HH3,Protein lyl-1 (Lymphoblastic leukemia-derived sequence 1),Lyl1,,
Q80T22,Sodium-dependent glucose transporter 1 (rNaGLT1) (Major facilitator superfamily domain-containing protein 4B),Mfsd4b,,
Q5I0J5,MIT domain-containing protein 1,Mitd1,,
Q9QYK3,Nuclear receptor-binding factor 2 (NRBF-2),Nrbf2,,
P97686,Neuronal cell adhesion molecule (Nr-CAM) (Ankyrin-binding cell adhesion molecule NrCAM) (Neuronal surface protein Bravo) (rBravo) (NgCAM-related cell adhesion molecule) (Ng-CAM-related),Nrcam,,
P21708,Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3) (EC 2.7.11.24) (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (MNK1) (Microtubule-associated protein 2 kinase) (p44-ERK1),Mapk3,,
Q63454,Mitogen-activated protein kinase 4 (MAP kinase 4) (MAPK 4) (EC 2.7.11.24) (Extracellular signal-regulated kinase 4) (ERK-4) (MAP kinase isoform p63) (p63-MAPK) (MNK2) (Fragment),Mapk4,,
P27704,Mitogen-activated protein kinase 6 (MAP kinase 6) (MAPK 6) (EC 2.7.11.24) (Extracellular signal-regulated kinase 3) (ERK-3) (p55-MAPK),Mapk6,,
P49185,Mitogen-activated protein kinase 8 (MAP kinase 8) (MAPK 8) (EC 2.7.11.24) (SAPK gamma) (Stress-activated protein kinase JNK1) (c-Jun N-terminal kinase 1) (p54 gamma),Mapk8,,
P49187,Mitogen-activated protein kinase 10 (MAP kinase 10) (MAPK 10) (EC 2.7.11.24) (SAPK-beta) (Stress-activated protein kinase JNK3) (c-Jun N-terminal kinase 3) (p54-beta),Mapk10,,
Q9WTY9,Mitogen-activated protein kinase 13 (MAP kinase 13) (MAPK 13) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 delta) (MAP kinase p38 delta) (Stress-activated protein kinase 4),Mapk13,,
Q4G050,MAP kinase-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (MAP kinase signal-integrating kinase 1) (MAPK signal-integrating kinase 1) (Mnk1),Mknk1,,
Q5FVQ4,Malectin,Mlec,,
A0A096MK47,Muscular LMNA-interacting protein (Cardiac Isl1-interacting protein) (CIP),Mlip,,
Q62625,Microtubule-associated proteins 1A/1B light chain 3B (Autophagy-related protein LC3 B) (Autophagy-related ubiquitin-like modifier LC3 B) (MAP1 light chain 3-like protein 2) (MAP1A/MAP1B light chain 3 B) (MAP1A/MAP1B LC3 B) (Microtubule-associated protein 1 light chain 3 beta),Map1lc3b,,
B5DF51,Membrane magnesium transporter 1 (ER membrane protein complex subunit 5) (Transmembrane protein 32),Mmgt1,,
Q5BJV9,Protein N-terminal glutamine amidohydrolase (EC 3.5.1.122) (Protein NH2-terminal glutamine deamidase) (N-terminal Gln amidase) (Nt(Q)-amidase) (WDYHV motif-containing protein 1),Wdyhv1,,
Q5PT56,Sodium/bile acid cotransporter 4 (Na(+)/bile acid cotransporter 4) (Solute carrier family 10 member 4),Slc10a4,,
Q4JLT5,Sodium/bile acid cotransporter 5 (Na(+)/bile acid cotransporter 5) (Solute carrier family 10 member 5),Slc10a5,,
P26435,Sodium/bile acid cotransporter (Na(+)/bile acid cotransporter) (Na(+)/taurocholate transport protein) (Sodium/taurocholate cotransporting polypeptide) (Solute carrier family 10 member 1),Slc10a1,,
Q6QI89,Mortality factor 4-like protein 2 (Liver regeneration-related protein LRRG00119) (MORF-related gene X protein) (Transcription factor-like protein MRGX),Morf4l2,,
Q9ES58,Cell surface glycoprotein CD200 receptor 1 (CD200 cell surface glycoprotein receptor) (Cell surface glycoprotein OX2 receptor 1) (OX102 antigen),Cd200r1,,
P18280,Neurotrophin-3 (NT-3) (HDNF) (Nerve growth factor 2) (NGF-2) (Neurotrophic factor),Ntf3,,
Q5BJX0,"N-terminal Xaa-Pro-Lys N-methyltransferase 1 (EC 2.1.1.244) (Alpha N-terminal protein methyltransferase 1A) (Methyltransferase-like protein 11A) (X-Pro-Lys N-terminal protein methyltransferase 1A) (NTM1A) [Cleaved into: N-terminal Xaa-Pro-Lys N-methyltransferase 1, N-terminally processed]",Ntmt1,,
Q9Z2J4,Nexilin,Nexn,,
P97526,Neurofibromin (Neurofibromatosis-related protein NF-1),Nf1,,
Q6AYG7,"NFATC2-interacting protein (Nuclear factor of activated T-cells, cytoplasmic 2-interacting protein)",Nfatc2ip,,
Q5XIT9,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial (MCCase subunit beta) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 2) (3-methylcrotonyl-CoA carboxylase non-biotin-containing subunit) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit beta)",Mccc2,,
P16610,Substance-K receptor (SKR) (NK-2 receptor) (NK-2R) (Neurokinin A receptor) (Tachykinin receptor 2),Tacr2,,
Q5XIE9,Mediator of RNA polymerase II transcription subunit 20 (Mediator complex subunit 20) (TRF-proximal protein homolog),Med20,,
Q5FVJ5,bMERB domain-containing protein 1 (Uncharacterized protein C16orf45 homolog),Bmerb1,,
Q9WVA9,Pro-FMRFamide-related neuropeptide FF (FMRFamide-related peptides) [Cleaved into: Neuropeptide SF (NPSF); Neuropeptide FF (NPFF); Neuropeptide AF-like (NPAF)],Npff,,
Q9R044,Nephrin (Renal glomerulus-specific cell adhesion receptor),Nphs1,,
Q9ES54,Nuclear protein localization protein 4 homolog (Protein NPL4),Nploc4,,
P0C0P7,Neuropeptide S,Nps,,
P47971,Neuronal pentraxin-1 (NP1) (47 kDa taipoxin-binding protein) (Neuronal pentraxin I) (NP-I),Nptx1,,
P97738,Neuronal pentraxin-2 (NP2) (Neuronal activity-regulated pentraxin) (Neuronal pentraxin II) (NP-II),Nptx2,,
O35764,Neuronal pentraxin receptor,Nptxr,,
P21555,Neuropeptide Y receptor type 1 (NPY1-R) (FC5),Npy1r,,
P07808,Pro-neuropeptide Y [Cleaved into: Neuropeptide Y (Neuropeptide tyrosine) (NPY); C-flanking peptide of NPY (CPON)],Npy,,
Q6AY80,Ribosyldihydronicotinamide dehydrogenase [quinone] (EC 1.10.5.1) (NRH dehydrogenase [quinone] 2) (NRH:quinone oxidoreductase 2) (Quinone reductase 2) (QR2),Nqo2,,
Q68LP1,E3 ubiquitin-protein ligase MIB2 (EC 2.3.2.27) (Mind bomb homolog 2) (RBSC-skeletrophin/dystrophin-like polypeptide) (RING-type E3 ubiquitin transferase MIB2),Mib2,,
Q62946,Melanoma-derived growth regulatory protein (Cartilage-derived retinoic acid-sensitive protein) (CD-RAP) (Melanoma inhibitory activity protein),Mia,,
D4A1F2,[F-actin]-monooxygenase MICAL2 (EC 1.14.13.225) (Molecule interacting with CasL protein 2) (MICAL-2),Mical2,,
Q6AYL6,Mitochondria-eating protein (Spermatid-expressing gene 1 protein) (Spetex-1) (Spermatogenesis-associated protein 18),Spata18,,
Q4G072,Lysophosphatidic acid receptor 6 (LPA receptor 6) (LPA-6) (Oleoyl-L-alpha-lysophosphatidic acid receptor) (P2Y purinoceptor 5) (P2Y5) (Purinergic receptor 5),Lpar6,,
O88382,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 (Atrophin-1-interacting protein 1) (AIP-1) (Membrane-associated guanylate kinase inverted 2) (MAGI-2) (Synaptic-scaffolding molecule) (S-SCAM)",Magi2,,
Q9JK71,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3 (Membrane-associated guanylate kinase inverted 3) (MAGI-3) (Scaffolding-like protein)",Magi3,,
Q6AYQ0,PDZ domain-containing protein MAGIX,Magix,,
P12526,Proto-oncogene Mas,Mas1,,
P52164,Protein max (Myc-associated factor X),Max,,
P19999,Mannose-binding protein A (MBP-A) (Mannan-binding protein),Mbl1,,
Q924Z9,Netrin-1,Ntn1,,
Q5PQM4,Myosin-binding protein H-like,Mybphl,,
Q9WTZ3,Membrane-bound transcription factor site-1 protease (EC 3.4.21.112) (Endopeptidase S1P) (Subtilisin/kexin isozyme 1) (SKI-1),Mbtps1,,
P14600,Substance-P receptor (SPR) (NK-1 receptor) (NK-1R) (Tachykinin receptor 1),Tacr1,,
P16177,Neuromedin-K receptor (NKR) (NK-3 receptor) (NK-3R) (Neurokinin B receptor) (Tachykinin receptor 3),Tacr3,,
Q4V7C9,NF-kappa-B-activating protein,Nkap,,
P18298,S-adenosylmethionine synthase isoform type-2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2) (Methionine adenosyltransferase II) (MAT-II),Mat2a,,
D3ZDX9,Multicilin (Multiciliate differentiation and DNA synthesis-associated cell cycle protein) (McIdas protein) (Protein Idas),Mcidas,,
Q5U2U7,mRNA cap guanine-N7 methyltransferase (EC 2.1.1.56) (RG7MT1) (mRNA (guanine-N(7)-)-methyltransferase) (mRNA cap methyltransferase),Rnmt,,
Q5HZE0,Mitochondrial basic amino acids transporter (Carnitine/acylcarnitine translocase-like) (CACT-like) (Mitochondrial carnitine/acylcarnitine carrier protein CACL) (Mitochondrial ornithine transporter 3) (Solute carrier family 25 member 29),Slc25a29,,
P09650,Mast cell protease 1 (rMCP-1) (EC 3.4.21.39) (Chymase) (Chymotrypsin-like protease) (CLIP protein) (Mast cell protease I) (rMCP-I),Mcpt1,,
P97592,Mast cell protease 4 (rMCP-4) (EC 3.4.21.-) (Mast cell protease IV) (rMCP-IV),Mcpt4,,
Q7TQ94,Deaminated glutathione amidase (dGSH amidase) (EC 3.5.1.128) (Nitrilase homolog 1),Nit1,,
P13444,S-adenosylmethionine synthase isoform type-1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1) (Methionine adenosyltransferase I/III) (MAT-I/III),Mat1a,,
Q6AXU8,Methyltransferase-like protein 6 (EC 2.1.1.-),Mettl6,,
B2RYH9,Hippocampus abundant transcript-like protein 1 (Major facilitator superfamily domain-containing 14B),Mfsd14b,,
Q5XII9,Mitochondrial fission regulator 1-like,Mtfr1l,,
Q02527,"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase (EC 2.4.1.144) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase III) (GNT-III) (GlcNAc-T III) (N-acetylglucosaminyltransferase III)",Mgat3,,
Q66H23,Mitoferrin-1 (Mitochondrial iron transporter 1) (Solute carrier family 25 member 37),Slc25a37,,
Q9Z2G8,Nucleosome assembly protein 1-like 1 (NAP-1-related protein),Nap1l1,,
Q5U2Z3,Nucleosome assembly protein 1-like 4,Nap1l4,,
P08011,Microsomal glutathione S-transferase 1 (Microsomal GST-1) (EC 2.5.1.18) (Microsomal GST-I),Mgst1,,
Q9EP86,Neuropeptide FF receptor 1 (G-protein coupled receptor 147) (RFamide-related peptide receptor OT7T022),Npffr1,,
Q9EQD2,Neuropeptide FF receptor 2 (G-protein coupled receptor 74) (Neuropeptide G-protein coupled receptor),Npffr2,,
P32244,Melanocortin receptor 3 (MC3-R),Mc3r,,
P97639,Melanin-concentrating hormone receptor 1 (MCH receptor 1) (MCH-R1) (MCHR-1) (G-protein coupled receptor 24) (MCH-1R) (MCH1R) (MCHR) (SLC-1) (Somatostatin receptor-like protein),Mchr1,,
Q5XIN1,Protein Mdm4 (Double minute 4 protein) (Mdm2-like p53-binding protein) (Protein Mdmx) (p53-binding protein Mdm4),Mdm4,,
Q08201,Phosphatidylcholine translocator ABCB4 (ATP-binding cassette sub-family B member 4) (Multidrug resistance protein 2) (Multidrug resistance protein 3) (EC 7.6.2.2) (P-glycoprotein 2) (P-glycoprotein 3),Abcb4,,
Q62889,Neuroligin-3 (Gliotactin homolog),Nlgn3,,
P12760,Neuromedin-U [Cleaved into: Neuromedin precursor-related peptide 36 (NURP36); Neuromedin precursor-related peptide 33 (NURP33); Neuromedin-U-23 (NmU-23)],Nmu,,
Q62649,Neuronatin,Nnat,,
Q5PQS3,Ventricular zone-expressed PH domain-containing protein homolog 1 (Protein melted homolog),Veph1,,
Q4QQR9,Protein MEMO1 (Mediator of ErbB2-driven cell motility 1) (Memo-1),Memo1,,
P41777,Nucleolar and coiled-body phosphoprotein 1 (140 kDa nucleolar phosphoprotein) (Nopp140) (Nucleolar 130 kDa protein) (Nucleolar phosphoprotein p130),Nolc1,,
Q562C4,Methyltransferase-like protein 7B (EC 2.1.1.-) (Associated with lipid droplet protein 1) (ALDI),Mettl7b,,
Q62600,"Nitric oxide synthase, endothelial (EC 1.14.13.39) (Constitutive NOS) (cNOS) (EC-NOS) (Endothelial NOS) (eNOS) (NOS type III) (NOSIII)",Nos3,,
Q6AYF7,Microfibril-associated glycoprotein 3,Mfap3,,
A7E3N7,NADPH oxidase activator 1,Noxa1,,
Q5PPG6,Nucleosome assembly protein 1-like 5,Nap1l5,,
Q5M854,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVa) (GlcNAc-T IVa) (GnT-IVa) (N-acetylglucosaminyltransferase IVa) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVa) [Cleaved into: Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A soluble form]",Mgat4a,,
Q4V8F8,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like protein MGAT4D (Glycosyltransferase 54 domain-containing protein) (GL54D)",Mgat4d,,
Q5SGE0,"Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (Leucine rich protein 157) (rLRP157)",Lrpprc,,
P12527,Arachidonate 5-lipoxygenase (5-LO) (5-lipoxygenase) (EC 1.13.11.34),Alox5,,
Q569C2,LRP2-binding protein,Lrp2bp,,
C0HJX3,Leukocyte immunoglobulin-like receptor subfamily B member 3B,Lilrb3b,,
P98158,Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin),Lrp2,,
Q9QYP1,Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7),Lrp4,,
P97756,Calcium/calmodulin-dependent protein kinase kinase 1 (CaM-KK 1) (CaM-kinase kinase 1) (CaMKK 1) (EC 2.7.11.17) (CaM-kinase IV kinase) (Calcium/calmodulin-dependent protein kinase kinase alpha) (CaM-KK alpha) (CaM-kinase kinase alpha) (CaMKK alpha),Camkk1,,
